InvoiceNo,StockCode,Description,InvoiceDate,Quantity,UnitPrice,TotalSales,CustomerID,Country,InvoiceDateOnly,SalesYear,SalesMonth,YearMonth,DayOfWeek,InvoiceHour
536367,84969,BOX OF 6 ASSORTED COLOUR TEASPOONS,2010-12-01 08:34:00.000000 UTC,6,4.25,25.5,13047,United Kingdom,2010-12-01,2010,12,2010-12,Wednesday,8
536367,22748,POPPY'S PLAYHOUSE KITCHEN,2010-12-01 08:34:00.000000 UTC,6,2.1,12.6,13047,United Kingdom,2010-12-01,2010,12,2010-12,Wednesday,8
536367,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,2010-12-01 08:34:00.000000 UTC,8,3.75,30.0,13047,United Kingdom,2010-12-01,2010,12,2010-12,Wednesday,8
536367,22745,POPPY'S PLAYHOUSE BEDROOM,2010-12-01 08:34:00.000000 UTC,6,2.1,12.6,13047,United Kingdom,2010-12-01,2010,12,2010-12,Wednesday,8
536367,84879,ASSORTED COLOUR BIRD ORNAMENT,2010-12-01 08:34:00.000000 UTC,32,1.69,54.08,13047,United Kingdom,2010-12-01,2010,12,2010-12,Wednesday,8
536367,21777,RECIPE BOX WITH METAL HEART,2010-12-01 08:34:00.000000 UTC,4,7.95,31.8,13047,United Kingdom,2010-12-01,2010,12,2010-12,Wednesday,8
536367,48187,DOORMAT NEW ENGLAND,2010-12-01 08:34:00.000000 UTC,4,7.95,31.8,13047,United Kingdom,2010-12-01,2010,12,2010-12,Wednesday,8
536367,22310,IVORY KNITTED MUG COSY,2010-12-01 08:34:00.000000 UTC,6,1.65,9.9,13047,United Kingdom,2010-12-01,2010,12,2010-12,Wednesday,8
536368,22960,JAM MAKING SET WITH JARS,2010-12-01 08:34:00.000000 UTC,6,4.25,25.5,13047,United Kingdom,2010-12-01,2010,12,2010-12,Wednesday,8
536368,22913,RED COAT RACK PARIS FASHION,2010-12-01 08:34:00.000000 UTC,3,4.95,14.85,13047,United Kingdom,2010-12-01,2010,12,2010-12,Wednesday,8
536368,22914,BLUE COAT RACK PARIS FASHION,2010-12-01 08:34:00.000000 UTC,3,4.95,14.85,13047,United Kingdom,2010-12-01,2010,12,2010-12,Wednesday,8
536368,22912,YELLOW COAT RACK PARIS FASHION,2010-12-01 08:34:00.000000 UTC,3,4.95,14.85,13047,United Kingdom,2010-12-01,2010,12,2010-12,Wednesday,8
536369,21756,BATH BUILDING BLOCK WORD,2010-12-01 08:35:00.000000 UTC,3,5.95,17.85,13047,United Kingdom,2010-12-01,2010,12,2010-12,Wednesday,8
536370,22728,ALARM CLOCK BAKELIKE PINK,2010-12-01 08:45:00.000000 UTC,24,3.75,90.0,12583,France,2010-12-01,2010,12,2010-12,Wednesday,8
536370,22629,SPACEBOY LUNCH BOX,2010-12-01 08:45:00.000000 UTC,24,1.95,46.8,12583,France,2010-12-01,2010,12,2010-12,Wednesday,8
536370,22727,ALARM CLOCK BAKELIKE RED,2010-12-01 08:45:00.000000 UTC,24,3.75,90.0,12583,France,2010-12-01,2010,12,2010-12,Wednesday,8
536370,22492,MINI PAINT SET VINTAGE,2010-12-01 08:45:00.000000 UTC,36,0.65,23.4,12583,France,2010-12-01,2010,12,2010-12,Wednesday,8
536370,22726,ALARM CLOCK BAKELIKE GREEN,2010-12-01 08:45:00.000000 UTC,12,3.75,45.0,12583,France,2010-12-01,2010,12,2010-12,Wednesday,8
536370,POST,POSTAGE,2010-12-01 08:45:00.000000 UTC,3,18.0,54.0,12583,France,2010-12-01,2010,12,2010-12,Wednesday,8
536370,21883,STARS GIFT TAPE,2010-12-01 08:45:00.000000 UTC,24,0.65,15.6,12583,France,2010-12-01,2010,12,2010-12,Wednesday,8
536370,22544,MINI JIGSAW SPACEBOY,2010-12-01 08:45:00.000000 UTC,24,0.42,10.08,12583,France,2010-12-01,2010,12,2010-12,Wednesday,8
536370,22900,SET 2 TEA TOWELS I LOVE LONDON,2010-12-01 08:45:00.000000 UTC,24,2.95,70.8,12583,France,2010-12-01,2010,12,2010-12,Wednesday,8
536370,22326,ROUND SNACK BOXES SET OF4 WOODLAND,2010-12-01 08:45:00.000000 UTC,24,2.95,70.8,12583,France,2010-12-01,2010,12,2010-12,Wednesday,8
536370,21913,VINTAGE SEASIDE JIGSAW PUZZLES,2010-12-01 08:45:00.000000 UTC,12,3.75,45.0,12583,France,2010-12-01,2010,12,2010-12,Wednesday,8
536370,21791,VINTAGE HEADS AND TAILS CARD GAME,2010-12-01 08:45:00.000000 UTC,24,1.25,30.0,12583,France,2010-12-01,2010,12,2010-12,Wednesday,8
536370,21724,PANDA AND BUNNIES STICKER SHEET,2010-12-01 08:45:00.000000 UTC,12,0.85,10.2,12583,France,2010-12-01,2010,12,2010-12,Wednesday,8
536370,22540,MINI JIGSAW CIRCUS PARADE,2010-12-01 08:45:00.000000 UTC,24,0.42,10.08,12583,France,2010-12-01,2010,12,2010-12,Wednesday,8
536370,22661,CHARLOTTE BAG DOLLY GIRL DESIGN,2010-12-01 08:45:00.000000 UTC,20,0.85,17.0,12583,France,2010-12-01,2010,12,2010-12,Wednesday,8
536370,10002,INFLATABLE POLITICAL GLOBE,2010-12-01 08:45:00.000000 UTC,48,0.85,40.8,12583,France,2010-12-01,2010,12,2010-12,Wednesday,8
536370,21035,SET/2 RED RETROSPOT TEA TOWELS,2010-12-01 08:45:00.000000 UTC,18,2.95,53.1,12583,France,2010-12-01,2010,12,2010-12,Wednesday,8
536370,21731,RED TOADSTOOL LED NIGHT LIGHT,2010-12-01 08:45:00.000000 UTC,24,1.65,39.6,12583,France,2010-12-01,2010,12,2010-12,Wednesday,8
536370,22631,CIRCUS PARADE LUNCH BOX,2010-12-01 08:45:00.000000 UTC,24,1.95,46.8,12583,France,2010-12-01,2010,12,2010-12,Wednesday,8
536370,22659,LUNCH BOX I LOVE LONDON,2010-12-01 08:45:00.000000 UTC,24,1.95,46.8,12583,France,2010-12-01,2010,12,2010-12,Wednesday,8
536371,22086,PAPER CHAIN KIT 50'S CHRISTMAS,2010-12-01 09:00:00.000000 UTC,80,2.55,204.0,13748,United Kingdom,2010-12-01,2010,12,2010-12,Wednesday,9
536372,22633,HAND WARMER UNION JACK,2010-12-01 09:01:00.000000 UTC,6,1.85,11.1,17850,United Kingdom,2010-12-01,2010,12,2010-12,Wednesday,9
536372,22632,HAND WARMER RED POLKA DOT,2010-12-01 09:01:00.000000 UTC,6,1.85,11.1,17850,United Kingdom,2010-12-01,2010,12,2010-12,Wednesday,9
536373,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,2010-12-01 09:02:00.000000 UTC,6,3.39,20.34,17850,United Kingdom,2010-12-01,2010,12,2010-12,Wednesday,9
536373,21730,GLASS STAR FROSTED T-LIGHT HOLDER,2010-12-01 09:02:00.000000 UTC,6,4.25,25.5,17850,United Kingdom,2010-12-01,2010,12,2010-12,Wednesday,9
536373,20679,EDWARDIAN PARASOL RED,2010-12-01 09:02:00.000000 UTC,6,4.95,29.7,17850,United Kingdom,2010-12-01,2010,12,2010-12,Wednesday,9
536373,71053,WHITE METAL LANTERN,2010-12-01 09:02:00.000000 UTC,6,3.39,20.34,17850,United Kingdom,2010-12-01,2010,12,2010-12,Wednesday,9
536373,21071,VINTAGE BILLBOARD DRINK ME MUG,2010-12-01 09:02:00.000000 UTC,6,1.06,6.36,17850,United Kingdom,2010-12-01,2010,12,2010-12,Wednesday,9
536373,84406B,CREAM CUPID HEARTS COAT HANGER,2010-12-01 09:02:00.000000 UTC,8,2.75,22.0,17850,United Kingdom,2010-12-01,2010,12,2010-12,Wednesday,9
536373,82483,WOOD 2 DRAWER CABINET WHITE FINISH,2010-12-01 09:02:00.000000 UTC,2,4.95,9.9,17850,United Kingdom,2010-12-01,2010,12,2010-12,Wednesday,9
536373,37370,RETRO COFFEE MUGS ASSORTED,2010-12-01 09:02:00.000000 UTC,6,1.06,6.36,17850,United Kingdom,2010-12-01,2010,12,2010-12,Wednesday,9
536373,84029E,RED WOOLLY HOTTIE WHITE HEART.,2010-12-01 09:02:00.000000 UTC,6,3.39,20.34,17850,United Kingdom,2010-12-01,2010,12,2010-12,Wednesday,9
536373,85123A,WHITE HANGING HEART T-LIGHT HOLDER,2010-12-01 09:02:00.000000 UTC,6,2.55,15.3,17850,United Kingdom,2010-12-01,2010,12,2010-12,Wednesday,9
536373,21068,VINTAGE BILLBOARD LOVE/HATE MUG,2010-12-01 09:02:00.000000 UTC,6,1.06,6.36,17850,United Kingdom,2010-12-01,2010,12,2010-12,Wednesday,9
536373,82486,WOOD S/3 CABINET ANT WHITE FINISH,2010-12-01 09:02:00.000000 UTC,4,6.95,27.8,17850,United Kingdom,2010-12-01,2010,12,2010-12,Wednesday,9
536373,21871,SAVE THE PLANET MUG,2010-12-01 09:02:00.000000 UTC,6,1.06,6.36,17850,United Kingdom,2010-12-01,2010,12,2010-12,Wednesday,9
536373,22752,SET 7 BABUSHKA NESTING BOXES,2010-12-01 09:02:00.000000 UTC,2,7.65,15.3,17850,United Kingdom,2010-12-01,2010,12,2010-12,Wednesday,9
536373,82482,WOODEN PICTURE FRAME WHITE FINISH,2010-12-01 09:02:00.000000 UTC,6,2.1,12.6,17850,United Kingdom,2010-12-01,2010,12,2010-12,Wednesday,9
536373,82494L,WOODEN FRAME ANTIQUE WHITE,2010-12-01 09:02:00.000000 UTC,6,2.55,15.3,17850,United Kingdom,2010-12-01,2010,12,2010-12,Wednesday,9
536374,21258,VICTORIAN SEWING BOX LARGE,2010-12-01 09:09:00.000000 UTC,32,10.95,350.4,15100,United Kingdom,2010-12-01,2010,12,2010-12,Wednesday,9
536375,20679,EDWARDIAN PARASOL RED,2010-12-01 09:32:00.000000 UTC,6,4.95,29.7,17850,United Kingdom,2010-12-01,2010,12,2010-12,Wednesday,9
536375,82494L,WOODEN FRAME ANTIQUE WHITE,2010-12-01 09:32:00.000000 UTC,6,2.55,15.3,17850,United Kingdom,2010-12-01,2010,12,2010-12,Wednesday,9
536375,21071,VINTAGE BILLBOARD DRINK ME MUG,2010-12-01 09:32:00.000000 UTC,6,1.06,6.36,17850,United Kingdom,2010-12-01,2010,12,2010-12,Wednesday,9
536375,22752,SET 7 BABUSHKA NESTING BOXES,2010-12-01 09:32:00.000000 UTC,2,7.65,15.3,17850,United Kingdom,2010-12-01,2010,12,2010-12,Wednesday,9
536375,21068,VINTAGE BILLBOARD LOVE/HATE MUG,2010-12-01 09:32:00.000000 UTC,6,1.06,6.36,17850,United Kingdom,2010-12-01,2010,12,2010-12,Wednesday,9
536375,82486,WOOD S/3 CABINET ANT WHITE FINISH,2010-12-01 09:32:00.000000 UTC,4,6.95,27.8,17850,United Kingdom,2010-12-01,2010,12,2010-12,Wednesday,9
536375,84406B,CREAM CUPID HEARTS COAT HANGER,2010-12-01 09:32:00.000000 UTC,8,2.75,22.0,17850,United Kingdom,2010-12-01,2010,12,2010-12,Wednesday,9
536375,37370,RETRO COFFEE MUGS ASSORTED,2010-12-01 09:32:00.000000 UTC,6,1.06,6.36,17850,United Kingdom,2010-12-01,2010,12,2010-12,Wednesday,9
536375,82483,WOOD 2 DRAWER CABINET WHITE FINISH,2010-12-01 09:32:00.000000 UTC,2,4.95,9.9,17850,United Kingdom,2010-12-01,2010,12,2010-12,Wednesday,9
536375,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,2010-12-01 09:32:00.000000 UTC,6,3.39,20.34,17850,United Kingdom,2010-12-01,2010,12,2010-12,Wednesday,9
536375,82482,WOODEN PICTURE FRAME WHITE FINISH,2010-12-01 09:32:00.000000 UTC,6,2.1,12.6,17850,United Kingdom,2010-12-01,2010,12,2010-12,Wednesday,9
536375,21730,GLASS STAR FROSTED T-LIGHT HOLDER,2010-12-01 09:32:00.000000 UTC,6,4.25,25.5,17850,United Kingdom,2010-12-01,2010,12,2010-12,Wednesday,9
536375,84029E,RED WOOLLY HOTTIE WHITE HEART.,2010-12-01 09:32:00.000000 UTC,6,3.39,20.34,17850,United Kingdom,2010-12-01,2010,12,2010-12,Wednesday,9
536375,21871,SAVE THE PLANET MUG,2010-12-01 09:32:00.000000 UTC,6,1.06,6.36,17850,United Kingdom,2010-12-01,2010,12,2010-12,Wednesday,9
536375,85123A,WHITE HANGING HEART T-LIGHT HOLDER,2010-12-01 09:32:00.000000 UTC,6,2.55,15.3,17850,United Kingdom,2010-12-01,2010,12,2010-12,Wednesday,9
536375,71053,WHITE METAL LANTERN,2010-12-01 09:32:00.000000 UTC,6,3.39,20.34,17850,United Kingdom,2010-12-01,2010,12,2010-12,Wednesday,9
536376,21733,RED HANGING HEART T-LIGHT HOLDER,2010-12-01 09:32:00.000000 UTC,64,2.55,163.2,15291,United Kingdom,2010-12-01,2010,12,2010-12,Wednesday,9
536376,22114,HOT WATER BOTTLE TEA AND SYMPATHY,2010-12-01 09:32:00.000000 UTC,48,3.45,165.6,15291,United Kingdom,2010-12-01,2010,12,2010-12,Wednesday,9
536377,22632,HAND WARMER RED POLKA DOT,2010-12-01 09:34:00.000000 UTC,6,1.85,11.1,17850,United Kingdom,2010-12-01,2010,12,2010-12,Wednesday,9
536377,22633,HAND WARMER UNION JACK,2010-12-01 09:34:00.000000 UTC,6,1.85,11.1,17850,United Kingdom,2010-12-01,2010,12,2010-12,Wednesday,9
536378,21977,PACK OF 60 PINK PAISLEY CAKE CASES,2010-12-01 09:37:00.000000 UTC,24,0.55,13.2,14688,United Kingdom,2010-12-01,2010,12,2010-12,Wednesday,9
536378,21975,PACK OF 60 DINOSAUR CAKE CASES,2010-12-01 09:37:00.000000 UTC,24,0.55,13.2,14688,United Kingdom,2010-12-01,2010,12,2010-12,Wednesday,9
536378,20723,STRAWBERRY CHARLOTTE BAG,2010-12-01 09:37:00.000000 UTC,10,0.85,8.5,14688,United Kingdom,2010-12-01,2010,12,2010-12,Wednesday,9
536378,22386,JUMBO BAG PINK POLKADOT,2010-12-01 09:37:00.000000 UTC,10,1.95,19.5,14688,United Kingdom,2010-12-01,2010,12,2010-12,Wednesday,9
536378,85099C,JUMBO  BAG BAROQUE BLACK WHITE,2010-12-01 09:37:00.000000 UTC,10,1.95,19.5,14688,United Kingdom,2010-12-01,2010,12,2010-12,Wednesday,9
536378,20725,LUNCH BAG RED RETROSPOT,2010-12-01 09:37:00.000000 UTC,10,1.65,16.5,14688,United Kingdom,2010-12-01,2010,12,2010-12,Wednesday,9
536378,84997C,BLUE 3 PIECE POLKADOT CUTLERY SET,2010-12-01 09:37:00.000000 UTC,6,3.75,22.5,14688,United Kingdom,2010-12-01,2010,12,2010-12,Wednesday,9
536378,21931,JUMBO STORAGE BAG SUKI,2010-12-01 09:37:00.000000 UTC,10,1.95,19.5,14688,United Kingdom,2010-12-01,2010,12,2010-12,Wednesday,9
536378,21212,PACK OF 72 RETROSPOT CAKE CASES,2010-12-01 09:37:00.000000 UTC,120,0.42,50.4,14688,United Kingdom,2010-12-01,2010,12,2010-12,Wednesday,9
536378,21559,STRAWBERRY LUNCH BOX WITH CUTLERY,2010-12-01 09:37:00.000000 UTC,6,2.55,15.3,14688,United Kingdom,2010-12-01,2010,12,2010-12,Wednesday,9
536378,84519A,TOMATO CHARLIE+LOLA COASTER SET,2010-12-01 09:37:00.000000 UTC,6,2.95,17.7,14688,United Kingdom,2010-12-01,2010,12,2010-12,Wednesday,9
536378,84997B,RED 3 PIECE RETROSPOT CUTLERY SET,2010-12-01 09:37:00.000000 UTC,12,3.75,45.0,14688,United Kingdom,2010-12-01,2010,12,2010-12,Wednesday,9
536378,22352,LUNCH BOX WITH CUTLERY RETROSPOT,2010-12-01 09:37:00.000000 UTC,6,2.55,15.3,14688,United Kingdom,2010-12-01,2010,12,2010-12,Wednesday,9
536378,85071B,RED CHARLIE+LOLA PERSONAL DOORSIGN,2010-12-01 09:37:00.000000 UTC,96,0.38,36.48,14688,United Kingdom,2010-12-01,2010,12,2010-12,Wednesday,9
536378,21929,JUMBO BAG PINK VINTAGE PAISLEY,2010-12-01 09:37:00.000000 UTC,10,1.95,19.5,14688,United Kingdom,2010-12-01,2010,12,2010-12,Wednesday,9
536378,21033,JUMBO BAG CHARLIE AND LOLA TOYS,2010-12-01 09:37:00.000000 UTC,10,2.95,29.5,14688,United Kingdom,2010-12-01,2010,12,2010-12,Wednesday,9
536378,84991,60 TEATIME FAIRY CAKE CASES,2010-12-01 09:37:00.000000 UTC,24,0.55,13.2,14688,United Kingdom,2010-12-01,2010,12,2010-12,Wednesday,9
536378,21094,SET/6 RED SPOTTY PAPER PLATES,2010-12-01 09:37:00.000000 UTC,12,0.85,10.2,14688,United Kingdom,2010-12-01,2010,12,2010-12,Wednesday,9
536378,85183B,CHARLIE & LOLA WASTEPAPER BIN FLORA,2010-12-01 09:37:00.000000 UTC,48,1.25,60.0,14688,United Kingdom,2010-12-01,2010,12,2010-12,Wednesday,9
536380,22961,JAM MAKING SET PRINTED,2010-12-01 09:41:00.000000 UTC,24,1.45,34.8,17809,United Kingdom,2010-12-01,2010,12,2010-12,Wednesday,9
536381,21175,GIN + TONIC DIET METAL SIGN,2010-12-01 09:41:00.000000 UTC,2,2.1,4.2,15311,United Kingdom,2010-12-01,2010,12,2010-12,Wednesday,9
536381,22262,FELT EGG COSY CHICKEN,2010-12-01 09:41:00.000000 UTC,1,0.85,0.85,15311,United Kingdom,2010-12-01,2010,12,2010-12,Wednesday,9
536381,15056N,EDWARDIAN PARASOL NATURAL,2010-12-01 09:41:00.000000 UTC,2,5.95,11.9,15311,United Kingdom,2010-12-01,2010,12,2010-12,Wednesday,9
536381,22637,PIGGY BANK RETROSPOT,2010-12-01 09:41:00.000000 UTC,1,2.55,2.55,15311,United Kingdom,2010-12-01,2010,12,2010-12,Wednesday,9
536381,22176,BLUE OWL SOFT TOY,2010-12-01 09:41:00.000000 UTC,1,2.95,2.95,15311,United Kingdom,2010-12-01,2010,12,2010-12,Wednesday,9
536381,22778,GLASS CLOCHE SMALL,2010-12-01 09:41:00.000000 UTC,3,3.95,11.85,15311,United Kingdom,2010-12-01,2010,12,2010-12,Wednesday,9
536381,22646,CERAMIC STRAWBERRY CAKE MONEY BANK,2010-12-01 09:41:00.000000 UTC,4,1.45,5.8,15311,United Kingdom,2010-12-01,2010,12,2010-12,Wednesday,9
536381,21731,RED TOADSTOOL LED NIGHT LIGHT,2010-12-01 09:41:00.000000 UTC,2,1.65,3.3,15311,United Kingdom,2010-12-01,2010,12,2010-12,Wednesday,9
536381,22719,GUMBALL MONOCHROME COAT RACK,2010-12-01 09:41:00.000000 UTC,36,1.06,38.16,15311,United Kingdom,2010-12-01,2010,12,2010-12,Wednesday,9
536381,21672,WHITE SPOT RED CERAMIC DRAWER KNOB,2010-12-01 09:41:00.000000 UTC,6,1.25,7.5,15311,United Kingdom,2010-12-01,2010,12,2010-12,Wednesday,9
536381,21934,SKULL SHOULDER BAG,2010-12-01 09:41:00.000000 UTC,10,1.65,16.5,15311,United Kingdom,2010-12-01,2010,12,2010-12,Wednesday,9
536381,71270,PHOTO CLIP LINE,2010-12-01 09:41:00.000000 UTC,3,1.25,3.75,15311,United Kingdom,2010-12-01,2010,12,2010-12,Wednesday,9
536381,37444C,PINK BREAKFAST CUP AND SAUCER,2010-12-01 09:41:00.000000 UTC,1,2.95,2.95,15311,United Kingdom,2010-12-01,2010,12,2010-12,Wednesday,9
536381,22086,PAPER CHAIN KIT 50'S CHRISTMAS,2010-12-01 09:41:00.000000 UTC,4,2.95,11.8,15311,United Kingdom,2010-12-01,2010,12,2010-12,Wednesday,9
536381,21169,YOU'RE CONFUSING ME METAL SIGN,2010-12-01 09:41:00.000000 UTC,3,1.69,5.07,15311,United Kingdom,2010-12-01,2010,12,2010-12,Wednesday,9
536381,21523,DOORMAT FANCY FONT HOME SWEET HOME,2010-12-01 09:41:00.000000 UTC,10,6.75,67.5,15311,United Kingdom,2010-12-01,2010,12,2010-12,Wednesday,9
536381,22771,CLEAR DRAWER KNOB ACRYLIC EDWARDIAN,2010-12-01 09:41:00.000000 UTC,24,1.25,30.0,15311,United Kingdom,2010-12-01,2010,12,2010-12,Wednesday,9
536381,47580,TEA TIME DES TEA COSY,2010-12-01 09:41:00.000000 UTC,2,2.55,5.1,15311,United Kingdom,2010-12-01,2010,12,2010-12,Wednesday,9
536381,22083,PAPER CHAIN KIT RETROSPOT,2010-12-01 09:41:00.000000 UTC,1,2.95,2.95,15311,United Kingdom,2010-12-01,2010,12,2010-12,Wednesday,9
536381,22261,FELT EGG COSY WHITE RABBIT,2010-12-01 09:41:00.000000 UTC,1,0.85,0.85,15311,United Kingdom,2010-12-01,2010,12,2010-12,Wednesday,9
536381,21533,RETROSPOT LARGE MILK JUG,2010-12-01 09:41:00.000000 UTC,1,4.95,4.95,15311,United Kingdom,2010-12-01,2010,12,2010-12,Wednesday,9
536381,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,2010-12-01 09:41:00.000000 UTC,10,1.95,19.5,15311,United Kingdom,2010-12-01,2010,12,2010-12,Wednesday,9
536381,21166,COOK WITH WINE METAL SIGN,2010-12-01 09:41:00.000000 UTC,1,1.95,1.95,15311,United Kingdom,2010-12-01,2010,12,2010-12,Wednesday,9
536381,22438,BALLOON ART MAKE YOUR OWN FLOWERS,2010-12-01 09:41:00.000000 UTC,1,1.95,1.95,15311,United Kingdom,2010-12-01,2010,12,2010-12,Wednesday,9
536381,71270,PHOTO CLIP LINE,2010-12-01 09:41:00.000000 UTC,1,1.25,1.25,15311,United Kingdom,2010-12-01,2010,12,2010-12,Wednesday,9
536381,84971S,SMALL HEART FLOWERS HOOK,2010-12-01 09:41:00.000000 UTC,6,0.85,5.1,15311,United Kingdom,2010-12-01,2010,12,2010-12,Wednesday,9
536381,84832,ZINC WILLIE WINKIE  CANDLE STICK,2010-12-01 09:41:00.000000 UTC,1,0.85,0.85,15311,United Kingdom,2010-12-01,2010,12,2010-12,Wednesday,9
536381,84854,GIRLY PINK TOOL SET,2010-12-01 09:41:00.000000 UTC,5,4.95,24.75,15311,United Kingdom,2010-12-01,2010,12,2010-12,Wednesday,9
536381,22644,CERAMIC CHERRY CAKE MONEY BANK,2010-12-01 09:41:00.000000 UTC,1,1.45,1.45,15311,United Kingdom,2010-12-01,2010,12,2010-12,Wednesday,9
536381,22139,RETROSPOT TEA SET CERAMIC 11 PC,2010-12-01 09:41:00.000000 UTC,23,4.25,97.75,15311,United Kingdom,2010-12-01,2010,12,2010-12,Wednesday,9
536381,15056BL,EDWARDIAN PARASOL BLACK,2010-12-01 09:41:00.000000 UTC,2,5.95,11.9,15311,United Kingdom,2010-12-01,2010,12,2010-12,Wednesday,9
536381,82567,"AIRLINE LOUNGE,METAL SIGN",2010-12-01 09:41:00.000000 UTC,2,2.1,4.2,15311,United Kingdom,2010-12-01,2010,12,2010-12,Wednesday,9
536381,37444A,YELLOW BREAKFAST CUP AND SAUCER,2010-12-01 09:41:00.000000 UTC,1,2.95,2.95,15311,United Kingdom,2010-12-01,2010,12,2010-12,Wednesday,9
536381,21557,SET OF 6 FUNKY BEAKERS,2010-12-01 09:41:00.000000 UTC,2,2.95,5.9,15311,United Kingdom,2010-12-01,2010,12,2010-12,Wednesday,9
536381,22774,RED DRAWER KNOB ACRYLIC EDWARDIAN,2010-12-01 09:41:00.000000 UTC,24,1.25,30.0,15311,United Kingdom,2010-12-01,2010,12,2010-12,Wednesday,9
C536379,D,Discount,2010-12-01 09:41:00.000000 UTC,-1,27.5,-27.5,14527,United Kingdom,2010-12-01,2010,12,2010-12,Wednesday,9
536382,22379,RECYCLING BAG RETROSPOT,2010-12-01 09:45:00.000000 UTC,10,2.1,21.0,16098,United Kingdom,2010-12-01,2010,12,2010-12,Wednesday,9
536382,22726,ALARM CLOCK BAKELIKE GREEN,2010-12-01 09:45:00.000000 UTC,4,3.75,15.0,16098,United Kingdom,2010-12-01,2010,12,2010-12,Wednesday,9
536382,10002,INFLATABLE POLITICAL GLOBE,2010-12-01 09:45:00.000000 UTC,12,0.85,10.2,16098,United Kingdom,2010-12-01,2010,12,2010-12,Wednesday,9
536382,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,2010-12-01 09:45:00.000000 UTC,10,1.95,19.5,16098,United Kingdom,2010-12-01,2010,12,2010-12,Wednesday,9
536382,22838,3 TIER CAKE TIN RED AND CREAM,2010-12-01 09:45:00.000000 UTC,2,14.95,29.9,16098,United Kingdom,2010-12-01,2010,12,2010-12,Wednesday,9
536382,22783,SET 3 WICKER OVAL BASKETS W LIDS,2010-12-01 09:45:00.000000 UTC,4,16.95,67.8,16098,United Kingdom,2010-12-01,2010,12,2010-12,Wednesday,9
536382,22926,IVORY GIANT GARDEN THERMOMETER,2010-12-01 09:45:00.000000 UTC,12,5.95,71.4,16098,United Kingdom,2010-12-01,2010,12,2010-12,Wednesday,9
536382,21912,VINTAGE SNAKES & LADDERS,2010-12-01 09:45:00.000000 UTC,8,3.75,30.0,16098,United Kingdom,2010-12-01,2010,12,2010-12,Wednesday,9
536382,22798,ANTIQUE GLASS DRESSING TABLE POT,2010-12-01 09:45:00.000000 UTC,8,2.95,23.6,16098,United Kingdom,2010-12-01,2010,12,2010-12,Wednesday,9
